count,frequency,word
7479,0.05243196253557858,no
7005,0.04910895809088487,the
4647,0.0325780625622187,is
4528,0.03174380617209518,are
3968,0.027817893747984466,normal
3405,0.02387094965017316,xxxx
3319,0.02326804167075616,of
3295,0.023099788281151414,and
2990,0.020961568121591116,acute
2785,0.019524403752050588,pleural
2768,0.019405224267747226,or
2518,0.017652584792697802,pneumothorax
2458,0.01723195131868594,effusion
2454,0.01720390908708515,heart
2449,0.017168856297584162,there
2344,0.016432747718063405,lungs
2216,0.015535396306838098,size
1876,0.013151806620770881,focal
1868,0.013095722157569298,clear
1693,0.011868874525034703,in
1671,0.011714642251230353,pulmonary
1653,0.011588452209026795,within
1646,0.01153937830372541,disease
1629,0.011420198819422049,cardiopulmonary
1593,0.011167818735014932,limits
1443,0.010116235049985278,right
1224,0.008580922869841983,left
1179,0.008265447764333085,consolidation
1168,0.008188331627430911,abnormality
1084,0.007599444763814305,with
1033,0.007241906310904222,silhouette
1011,0.007087674037099872,airspace
1006,0.007052621247598884,mediastinal
982,0.006884367857994139,lung
884,0.006197333183774765,stable
822,0.005762678593962508,cardiomediastinal
710,0.004977496109140366,changes
683,0.004788211045835027,chest
657,0.004605936540429887,findings
653,0.004577894308829097,evidence
641,0.0044937676140267245,spine
638,0.0044727359403261314,a
634,0.00444469370872534,mild
626,0.004388609245523758,unremarkable
610,0.004276440319120596,thoracic
604,0.0042343769717194096,contour
604,0.0042343769717194096,mediastinum
598,0.0041923136243182235,without
591,0.004143239719016839,structures
579,0.004059113024214467,for
576,0.004038081350513874,to
556,0.00389787019250992,contours
540,0.0037857012661067567,bony
534,0.0037436379187055706,seen
528,0.0037015745713043845,effusions
506,0.0035473422975000352,degenerative
493,0.003456205044797465,opacity
488,0.0034211522552964765,large
478,0.0033510466762944995,atelectasis
478,0.0033510466762944995,calcified
475,0.0033300150025939064,upper
465,0.0032599094235919294,lobe
464,0.0032528988656917316,cardiac
448,0.0031407299392885685,appear
434,0.003042582128685801,opacities
416,0.0029163920864822422,osseous
414,0.002902370970681847,vascularity
386,0.0027060753494763112,identified
374,0.002621948654673939,cardiomegaly
374,0.002621948654673939,intact
369,0.0025868958651729503,edema
361,0.002530811401971369,active
361,0.002530811401971369,process
356,0.0024957586124703802,lateral
356,0.0024957586124703802,lower
347,0.002432663591368601,visualized
336,0.0023555474544664262,volumes
333,0.002334515780765833,aorta
326,0.0022854418754644497,abnormalities
323,0.002264410201763856,vasculature
321,0.002250389085963461,noted
307,0.002152241275360693,low
302,0.0021171884858597048,infiltrate
293,0.0020540934647579256,on
287,0.002012030117356739,bilateral
280,0.0019629562120553556,small
276,0.0019349139804545647,air
274,0.0019208928646541692,prior
273,0.0019138823067539714,pneumonia
260,0.0018227450540514013,bilaterally
259,0.0018157344961512037,base
259,0.0018157344961512037,be
258,0.0018087239382510061,may
252,0.0017666605908498198,negative
246,0.0017245972434486337,interstitial
239,0.0016755233381472497,present
236,0.0016544916644466567,scarring
232,0.0016264494328458658,appearance
222,0.001556343853843889,grossly
219,0.0015353121801432957,nodules
219,0.0015353121801432957,rib
212,0.001486238274841912,unchanged
209,0.0014652066011413187,otherwise
206,0.0014441749274407257,granuloma
204,0.0014301538116403304,this
203,0.0014231432537401326,enlarged
200,0.0014021115800395396,space
196,0.0013740693484387487,interval
195,0.001367058790538551,free
193,0.0013530376747381556,basilar
189,0.001324995443137365,hilar
182,0.001275921537835981,chronic
179,0.001254889864135388,minimal
175,0.001226847632534597,at
172,0.001205815958834004,visible
169,0.001184784285133411,which
166,0.0011637526114328179,vascular
164,0.0011497314956324224,definite
162,0.001135710379832027,mildly
162,0.001135710379832027,represent
160,0.0011216892640316316,aortic
159,0.001114678706131434,from
157,0.0011006575903310385,thorax
155,0.001086636474530643,both
153,0.0010726153587302478,soft
151,0.0010585942429298524,radiographic
147,0.0010305520113290615,masses
147,0.0010305520113290615,granulomatous
147,0.0010305520113290615,not
145,0.0010165308955286663,tortuous
144,0.0010095203376284684,pneumothoraces
143,0.0010025097797282708,bibasilar
142,0.000995499221828073,consistent
142,0.000995499221828073,expanded
140,0.0009814781060276778,infiltrates
139,0.00097446754812748,view
138,0.0009674569902272823,fracture
135,0.0009464253165266892,hemidiaphragm
135,0.0009464253165266892,increased
134,0.0009394147586264914,fractures
134,0.0009394147586264914,appears
134,0.0009394147586264914,costophrenic
132,0.0009253936428260961,tip
132,0.0009253936428260961,central
131,0.0009183830849258984,nodule
125,0.0008763197375247122,suspicious
125,0.0008763197375247122,examination
125,0.0008763197375247122,change
121,0.0008482775059239214,areas
121,0.0008482775059239214,hyperexpanded
118,0.0008272458322233283,patchy
117,0.0008202352743231306,prominent
116,0.0008132247164229329,atherosclerotic
116,0.0008132247164229329,exam
113,0.0007921930427223398,suggest
112,0.0007851824848221421,frontal
111,0.0007781719269219445,alveolar
110,0.0007711613690217468,anterior
110,0.0007711613690217468,emphysema
110,0.0007711613690217468,overlying
110,0.0007711613690217468,lymph
109,0.0007641508111215491,an
109,0.0007641508111215491,sternotomy
108,0.0007571402532213513,posterior
108,0.0007571402532213513,density
107,0.0007501296953211536,granulomas
107,0.0007501296953211536,midlung
106,0.000743119137420956,previous
104,0.0007290980216205606,calcifications
103,0.0007220874637203628,moderate
101,0.0007080663479199675,specifically
101,0.0007080663479199675,crowding
100,0.0007010557900197698,markings
100,0.0007010557900197698,clips
99,0.0006940452321195721,as
99,0.0006940452321195721,bronchovascular
98,0.0006870346742193743,study
97,0.0006800241163191767,patient
97,0.0006800241163191767,spaces
96,0.000673013558418979,tissues
96,0.000673013558418979,comparison
95,0.0006660030005187813,versus
94,0.0006589924426185836,compatible
94,0.0006589924426185836,typical
94,0.0006589924426185836,catheter
93,0.0006519818847183858,adenopathy
93,0.0006519818847183858,but
92,0.0006449713268181882,has
92,0.0006449713268181882,subsegmental
90,0.0006309502110177928,again
89,0.0006239396531175951,further
89,0.0006239396531175951,nodular
88,0.0006169290952173974,have
88,0.0006169290952173974,midline
88,0.0006169290952173974,evaluation
87,0.0006099185373171997,scattered
86,0.000602907979417002,cm
86,0.000602907979417002,streaky
85,0.0005958974215168043,show
85,0.0005958974215168043,views
85,0.0005958974215168043,surgical
85,0.0005958974215168043,old
83,0.0005818763057164089,diaphragm
82,0.0005748657478162112,over
82,0.0005748657478162112,blunting
82,0.0005748657478162112,trachea
80,0.0005608446320158158,displaced
80,0.0005608446320158158,ct
78,0.0005468235162154204,deformity
78,0.0005468235162154204,most
78,0.0005468235162154204,could
77,0.0005398129583152227,abdomen
76,0.000532802400415025,cardio
76,0.000532802400415025,skeletal
75,0.0005257918425148273,prominence
75,0.0005257918425148273,if
75,0.0005257918425148273,mid
74,0.0005187812846146297,limited
74,0.0005187812846146297,hernia
73,0.0005117707267144319,bone
72,0.0005047601688142342,calcification
72,0.0005047601688142342,than
69,0.00048372849511364117,fluid
69,0.00048372849511364117,normally
69,0.00048372849511364117,mm
